# XDI/1.0  GSE/1.0
# Beamline.name:  13-ID-E, GSECARS
# Monochromator.name:  Si(111), LN2 Cooled
# Monochromator.dspacing:  3.13477
# Facility.name: APS
# Facility.xray_source: 3.6 cm undulator
# Detectors.i0:  20cm ion chamber, He
# Detectors.ifluor:  Si SDD Vortex ME-4, 4 elements
# Detectors.ifluor_electronics:  Quantum Xspress3 3.1.10
# Column.1: energy eV
# Column.2: mufluor
# Column.3: i0
# Column.4: ifluor (corrected for deadtime)
# Column.5: ifluor_raw (not corrected)
# Column.7: itrans 
# Column.8: irefer 
# Scan.start_time: 2015-03-26 13:01:58
# ///
# summed fe_ka fluorescence data from FeXAFS_REL_Map1_spot4_V_Fe_Ca_Sr.002
# Dead-time correction applied
#---------------------------------
#        energy         mufluor         i0          fluor_dtc        fluor_raw        counttime        itrans         irefer 
      7271.986     11.41517576     257678.000    2941439.65847     2522545.00          1.000         16.000        -77.000
      7274.985     11.42362309     257094.000    2936944.95265     2518786.00          1.000         16.000        -78.000
      7277.979     11.42582686     257517.000    2942344.65351     2523274.00          1.000         16.000        -77.000
      7281.000     11.45147356     257381.000    2947391.71418     2526629.00          1.000         16.000        -77.000
      7283.996     11.43501360     256576.000    2933950.04728     2517065.00          1.000         16.000        -77.000
      7286.985     11.43198443     256416.000    2931343.71816     2514983.00          1.000         16.000        -77.000
      7289.986     11.42307086     257001.000    2935740.63275     2518109.00          1.000         16.000        -78.000
      7292.983     11.41300505     256851.000    2931441.75767     2514813.00          1.000         16.000        -78.000
      7295.975     11.41404131     256706.000    2930052.88793     2513929.00          1.000         17.000        -78.000
      7298.988     11.40753981     256297.000    2923718.22848     2508764.00          1.000         16.000        -78.000
      7301.989     11.40119102     256478.000    2924154.66860     2509443.00          1.000         17.000        -85.000
      7304.999     11.38839079     256823.000    2924800.68716     2510110.00          1.000         17.000        -90.000
      7307.981     11.41868379     256509.000    2928995.16026     2513359.00          1.000         16.000        -89.000
      7310.983     11.42070444     254011.000    2900984.55319     2493179.00          1.000         17.000        -90.000
      7313.984     11.44326947     253471.000    2900536.95587     2493145.00          1.000         16.000        -83.000
      7316.991     11.44291237     253173.000    2897036.45151     2490708.00          1.000         16.000        -80.000
      7319.983     11.48139002     253106.000    2906008.70189     2496726.00          1.000         16.000        -82.000
      7322.992     11.49786295     253146.000    2910638.01219     2500427.00          1.000         16.000        -81.000
      7325.975     11.49330083     253009.000    2907908.54747     2497944.00          1.000         16.000        -80.000
      7328.968     11.50011628     252889.000    2908252.90510     2498557.00          1.000         15.000        -81.000
      7331.981     11.51665111     253092.000    2914772.26059     2502816.00          1.000         16.000        -80.000
      7334.983     11.54015284     252416.000    2912919.21793     2501215.00          1.000         16.000        -80.000
      7337.980     11.54869414     251904.000    2909162.24858     2498659.00          1.000         17.000        -81.000
      7340.983     11.55070452     252184.000    2912902.86845     2501727.00          1.000         17.000        -80.000
      7343.985     11.57684511     252342.000    2921324.24805     2507565.00          1.000         17.000        -80.000
      7346.979     11.55425123     252756.000    2920406.32363     2506876.00          1.000         16.000        -82.000
      7349.986     11.56856115     252943.000    2926186.56129     2511029.00          1.000         16.000        -81.000
      7352.989     11.58073241     250724.000    2903567.55235     2494886.00          1.000         16.000        -82.000
      7355.977     11.58540526     250343.000    2900325.10718     2492379.00          1.000         16.000        -82.000
      7358.982     11.59101732     250496.000    2903503.47402     2494295.00          1.000         16.000        -80.000
      7361.981     11.61313355     250548.000    2909647.38290     2499024.00          1.000         17.000        -81.000
