# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 59 s                         
#        20000.0          1.25          15.0           0.0 = E_edge, Gamma_hole, Gamma_max, E_cut                                                                                                                                                                        
#       0.69430           0.0 = Shift                                                                                                                                                                                            
    Energy    <xanes>    
    84.400  8.0078077E-02
    85.000  8.0201103E-02
    85.600  8.0331894E-02
    86.200  8.0469631E-02
    86.800  8.0613339E-02
    87.400  8.0761883E-02
    88.000  8.0913969E-02
    88.600  8.1068130E-02
    89.200  8.1222719E-02
    89.800  8.1375902E-02
    90.400  8.1525658E-02
    91.000  8.1669790E-02
    91.600  8.1805945E-02
    92.200  8.1931654E-02
    92.800  8.2044377E-02
    93.400  8.2141566E-02
    94.000  8.2220726E-02
    94.600  8.2279490E-02
    95.200  8.2315681E-02
    95.800  8.2327376E-02
    96.400  8.2312955E-02
    97.000  8.2271138E-02
    97.600  8.2201014E-02
    98.200  8.2102050E-02
    98.800  8.1974091E-02
    99.400  8.1817346E-02
   100.000  8.1632376E-02
   100.600  8.1420067E-02
   101.200  8.1181602E-02
   101.800  8.0918436E-02
   102.400  8.0632269E-02
   103.000  8.0325015E-02
   103.600  7.9998781E-02
   104.200  7.9655831E-02
   104.800  7.9298564E-02
   105.400  7.8929482E-02
   106.000  7.8551151E-02
   106.600  7.8166170E-02
   107.200  7.7777131E-02
   107.800  7.7386578E-02
   108.400  7.6996970E-02
   109.000  7.6610642E-02
   109.600  7.6229773E-02
   110.200  7.5856356E-02
   110.800  7.5492173E-02
   111.400  7.5138780E-02
   112.000  7.4797495E-02
   112.600  7.4469394E-02
   113.200  7.4155311E-02
   113.800  7.3855845E-02
   114.400  7.3571374E-02
   115.000  7.3302065E-02
   115.600  7.3047894E-02
   116.200  7.2808669E-02
   116.800  7.2584044E-02
   117.400  7.2373559E-02
   118.000  7.2176907E-02
   118.600  7.1996760E-02
   119.200  7.1846959E-02
   119.800  7.1744752E-02
