#F /buffer/ld0132/Exafs/USERS/ELKE/GeO2.dat
#E 1371554237
#D Fri Jun 28 13:38:56 2013
#C experiment  User = opd01
#O0  samplez    omegax    omegay  solidstate     minix     miniy     miniz     sl03t
#O1    sl03b     sl03r     sl03l     dummy     sl01t     sl01b    dummy1   sl01gap
#O2  sl01off      mono      whip      tab1      tab2      tab3       xti       yti
#O3      hgt   pdslide     sl02l     sl02r   shutter     sl02b  beamstop     theta
#O4    omega      xeye     difz1     difz2   diftilt    difhgt   samplex   sampley
#O5 Mono  piz  POWDERmono    m_vert     sl01l     sl01r    sl01hg    sl01ho     piezo
#O6    mtest   spinner     blow1     blow2  
#C Fri Jun 28 13:41:45 2013.  do ToEXAFS.mac.
#C Fri Jun 28 13:42:05 2013.  Monochromator moved to E = 11.1025 KeV.

#S 1  zapline mono 10.3073 9.89985 7244 100 
#D Fri Jun 28 13:44:15 2013
#T 100  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 1.25e-06 -0.19 -0.17 16 0.8 -5e-07 -7.5e-06 25.400002
#P1 19.900005 23.85 17.3 -127.466 38.224063 39.2 24.684375 77.424
#P2 -0.488 9.8998208 40 -1.1365 -0.95029948 -1.0415781 2.6600012 -0.01023379
#P3 -1.0424889 0.5 17.687812 -88.637812 0.99938125 -4.80094 -5 30.00001
#P4 0 30 2.46 2.46 0 2.46 -7.5e-07 0
#P5 78.623942 4.6116 -0.72625 47 35 82 6 0
#P6 7.573685 369 30 25 
#UMI0     Current AutoM      Shutter    
#UMI1      183.36    ON     FE open     
#UMI2 Refill in 26146 sec, Fill Mode: 7/8 multibunch / Message: Jun 28 09:04 Delivery:Next Refill at 21:00; 
#N 18
#L Mon    Det1  Det2  Det3  Det4  Det5  Det6  Ion1  MonEx  Ion2  Htime  MusstEnc1  MusstEnc3  MusstEnc4  TwoTheta  ZapEnergy  ZCryo  xmap_roi00
 11129 0 0 0 0 0 0 22223 11129 3056 100001 525458.5 598263 16 10.201979 11.162877 0 0
 11125 0 0 0 0 0 0 22134 11124 3048 100000 525276.5 598263 16 10.201068 11.163862 0 0
 11121 0 0 0 0 0 0 22014 11122 3034 99999 525094.5 598263 16 10.200158 11.164848 0 0
 11122 0 0 0 0 0 0 21857 11121 3017 100000 524914 598263 16 10.199256 11.165826 0 0
 11125 0 0 0 0 0 0 21687 11126 2993 100001 524735 598263 16 10.19836 11.166795 0 0
 11126 0 0 0 0 0 0 21484 11126 2971 100001 524555 598263 16 10.197461 11.16777 0 0
 11120 0 0 0 0 0 0 21247 11120 2941 100000 524373.5 598263 16 10.196553 11.168754 0 0
 11121 0 0 0 0 0 0 21015 11121 2916 100000 524190.5 598263 16 10.195639 11.169745 0 0
 11127 0 0 0 0 0 0 20815 11127 2891 100001 524007.5 598263 16 10.194723 11.170737 0 0
 11124 0 0 0 0 0 0 20621 11124 2868 100000 523826.5 598263 16 10.193818 11.171719 0 0
 11125 0 0 0 0 0 0 20451 11125 2849 100000 523645 598263 16 10.192911 11.172703 0 0
 11122 0 0 0 0 0 0 20311 11121 2831 100001 523464.5 598263 16 10.192008 11.173681 0 0
 11112 0 0 0 0 0 0 20182 11113 2818 100000 523284 598263 16 10.191106 11.174661 0 0
 11112 0 0 0 0 0 0 20118 11112 2812 99999 523101.5 598263 16 10.190193 11.175651 0 0
 11122 0 0 0 0 0 0 20086 11122 2808 100002 522920 598263 16 10.189286 11.176636 0 0
 11115 0 0 0 0 0 0 20072 11115 2807 100000 522741.5 598263 16 10.188394 11.177604 0 0
 11121 0 0 0 0 0 0 20077 11121 2810 100000 522561 598263 16 10.18749 11.178584 0 0
 11117 0 0 0 0 0 0 20103 11117 2816 99999 522379.5 598263 16 10.186584 11.179569 0 0
 11112 0 0 0 0 0 0 20122 11112 2819 100001 522198 598263 16 10.185676 11.180554 0 0
 11113 0 0 0 0 0 0 20151 11113 2823 100007 522015 598263 16 10.184761 11.181549 0 0
 11112 0 0 0 0 0 0 20172 11112 2827 99995 521833.5 598263 16 10.183853 11.182534 0 0
 11109 0 0 0 0 0 0 20206 11109 2833 99999 521652.5 598263 16 10.182948 11.183517 0 0
 11107 0 0 0 0 0 0 20233 11108 2839 100001 521473 598263 16 10.182051 11.184493 0 0
 11100 0 0 0 0 0 0 20248 11100 2840 100000 521292 598263 16 10.181146 11.185477 0 0
 11091 0 0 0 0 0 0 20254 11091 2844 100003 521109 598263 16 10.180231 11.186472 0 0
 11100 0 0 0 0 0 0 20251 11100 2844 99999 520928.5 598263 16 10.179328 11.187453 0 0
 11063 0 0 0 0 0 0 20200 11062 2841 99997 520749.5 598263 16 10.178433 11.188426 0 0
 11011 0 0 0 0 0 0 20071 11012 2824 100003 520569 598263 16 10.177531 11.189408 0 0
 10912 0 0 0 0 0 0 19904 10912 2804 100000 520388 598263 16 10.176626 11.190392 0 0
 10997 0 0 0 0 0 0 20038 10997 2823 100000 520204 598263 16 10.175706 11.191394 0 0
 11076 0 0 0 0 0 0 20147 11076 2839 100000 520020 598263 16 10.174786 11.192395 0 0
 11097 0 0 0 0 0 0 20182 11097 2843 100001 519840.5 598263 16 10.173888 11.193372 0 0
 11102 0 0 0 0 0 0 20200 11102 2849 100001 519660.5 598263 16 10.172988 11.194352 0 0
 11104 0 0 0 0 0 0 20215 11104 2848 100005 519480 598263 16 10.172086 11.195334 0 0
 11113 0 0 0 0 0 0 20247 11113 2854 99994 519298.5 598263 16 10.171178 11.196323 0 0
 11101 0 0 0 0 0 0 20256 11101 2856 100002 519116.5 598263 16 10.170268 11.197314 0 0
 11104 0 0 0 0 0 0 20281 11104 2861 99998 518936.5 598263 16 10.169369 11.198295 0 0
 11108 0 0 0 0 0 0 20321 11108 2868 100001 518757 598263 16 10.16847 11.199273 0 0
 11108 0 0 0 0 0 0 20375 11108 2875 100001 518575.5 598263 16 10.167563 11.200262 0 0
 11109 0 0 0 0 0 0 20421 11109 2885 100001 518394 598263 16 10.166656 11.201251 0 0
 11113 0 0 0 0 0 0 20484 11113 2894 100000 518211.5 598263 16 10.165743 11.202246 0 0
 11112 0 0 0 0 0 0 20528 11112 2902 100000 518027.5 598263 16 10.164824 11.203249 0 0
 11100 0 0 0 0 0 0 20581 11100 2908 100001 517847 598263 16 10.16392 11.204233 0 0
 11095 0 0 0 0 0 0 20639 11095 2917 99999 517666.5 598263 16 10.163018 11.205218 0 0
 11099 0 0 0 0 0 0 20682 11099 2924 100001 517486.5 598263 16 10.162118 11.2062 0 0
 11092 0 0 0 0 0 0 20719 11092 2927 100001 517305 598263 16 10.161211 11.207191 0 0
 11092 0 0 0 0 0 0 20747 11092 2934 99998 517121 598263 16 10.160291 11.208195 0 0
 11091 0 0 0 0 0 0 20779 11091 2938 100002 516939 598263 16 10.159381 11.209188 0 0
 11095 0 0 0 0 0 0 20805 11095 2943 100002 516758.5 598263 16 10.158479 11.210174 0 0
 11095 0 0 0 0 0 0 20847 11095 2950 99998 516579 598263 16 10.15758 11.211153 0 0
 11101 0 0 0 0 0 0 20879 11101 2957 100000 516399.5 598263 16 10.156683 11.212133 0 0
 11100 0 0 0 0 0 0 20926 11099 2965 100001 516217.5 598263 16 10.155773 11.213128 0 0
 11099 0 0 0 0 0 0 20963 11100 2967 99998 516035 598263 16 10.15486 11.214125 0 0
 11097 0 0 0 0 0 0 21012 11097 2979 100001 515854.5 598263 16 10.153958 11.215111 0 0
