  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
  16.15049  16.15050      2.00   3226559     24522
  16.15025  16.15020      2.00   3224147     24665
  16.15002  16.15010      2.00   3227076     24528
  16.14979  16.14970      2.00   3226898     24501
  16.14955  16.14960      2.00   3225691     24605
  16.14932  16.14930      2.00   3227556     24688
  16.14909  16.14910      2.00   3226239     24736
  16.14885  16.14880      2.00   3224134     24979
  16.14862  16.14870      2.00   3222067     25033
  16.14839  16.14840      2.00   3220992     25322
  16.14815  16.14810      2.00   3220793     25363
  16.14792  16.14800      2.00   3219515     25343
  16.14769  16.14760      2.00   3218778     25611
  16.14745  16.14750      2.00   3220033     25812
  16.14722  16.14730      2.00   3220622     25621
  16.14699  16.14700      2.00   3219787     26018
  16.14675  16.14680      2.00   3219753     26247
  16.14652  16.14650      2.00   3217142     26504
  16.14629  16.14630      2.00   3214381     26573
  16.14605  16.14600      2.00   3212314     26825
  16.14582  16.14580      2.00   3214950     27108
  16.14559  16.14560      2.00   3216013     27157
  16.14535  16.14540      2.00   3210450     27684
  16.14512  16.14510      2.00   3211976     28091
  16.14489  16.14480      2.00   3219031     28553
  16.14465  16.14460      2.00   3216048     28647
  16.14442  16.14450      2.00   3214062     28916
  16.14419  16.14410      2.00   3218382     29799
