# XDI/1.0 BlueSky/1.5.0
# Beamline.name: BMM (06BM) -- Beamline for Materials Measurement
# Beamline.xray_source: NSLS-II three-pole wiggler
# Beamline.collimation: paraboloid mirror, 5 nm Rh on 30 nm Pt
# Beamline.focusing: not in use
# Beamline.harmonic_rejection: flat mirror, Si stripe, pitch = 2.00 mrad
# Detector.I0: 10 cm N2
# Detector.I1: 25 cm N2
# Detector.I2: 25 cm N2
# Detector.fluorescence: SII Vortex ME4 (4-element silicon drift)
# Detector.deadtime_correction: DOI: 10.1107/S0909049510009064
# Element.symbol: V
# Element.edge: K
# Facility.name: NSLS-II
# Facility.current: 0.0 mA
# Facility.energy: 3.0 GeV
# Facility.mode: top-off
# Facility.GUP: 303443
# Facility.SAF: 303928
# Mono.name: Si(111)
# Mono.d_spacing: 3.1356369 Å
# Mono.encoder_resolution: 0.0000050 deg/ct
# Mono.angle_offset: 16.0568400 deg
# Mono.scan_mode: pseudo channel cut
# Mono.scan_type: step
# Mono.direction: forward in energy
# Sample.x_position: -113.866 mm
# Sample.y_position: 95.228 mm
# Sample.name: Ca0.25V2O5
# Sample.prep: slurry dried on SS 200 mesh 1 M ZnSO4
# Scan.experimenters: Chris Patridge
# Scan.edge_energy: 5465.0
# Scan.start_time: 2019-03-21T08:45:01
# Scan.end_time: 2019-03-21T09:00:56
# Scan.transient_id: 6986
# Scan.uid: 48c3dcf1-020e-4671-8c71-cc0db04dff01
# Scan.plot_hint: (DTC1 + DTC2 + DTC3 + DTC4) / I0  --  ($8+$9+$10+$11) / $5
# Column.1: energy eV
# Column.2: requested_energy eV
# Column.3: measurement_time seconds
# Column.4: xmu 
# Column.5: I0 nA
# Column.6: It nA
# Column.7: Ir nA
# Column.8: DTC1 dead-time corrected count rate
# Column.9: DTC2 dead-time corrected count rate
# Column.10: DTC3 dead-time corrected count rate
# Column.11: DTC4 dead-time corrected count rate
# Column.12: ROI1 counts
# Column.13: ICR1 counts
# Column.14: OCR1 counts
# Column.15: ROI2 counts
# Column.16: ICR2 counts
# Column.17: OCR2 counts
# Column.18: ROI3 counts
# Column.19: ICR3 counts
# Column.20: OCR3 counts
# Column.21: ROI4 counts
# Column.22: ICR4 counts
# Column.23: OCR4 counts
# ///////////
# 48 hr rest
# -----------
# energy  requested_energy  measurement_time  xmu  I0  It  Ir  DTC1  DTC2  DTC3  DTC4  ROI1  ICR1  OCR1  ROI2  ICR2  OCR2  ROI3  ICR3  OCR3  ROI4  ICR4  OCR4
  5457.994  5458.000  0.500  20.152540  31.554723  0.000242  -0.004876  133.466802  146.549571  76.470240  279.421209  133.0  1506.0  1502.0  147.0  1526.0  1532.0  76.0  2852.0  2839.0  276.0  2807.0  2777.0
  5458.243  5458.250  0.500  22.326603  31.593787  0.000789  -0.011748  166.774939  167.570425  92.737414  278.299160  166.0  1598.0  1592.0  168.0  1474.0  1479.0  92.0  2821.0  2803.0  275.0  2704.0  2676.0
  5458.492  5458.500  0.500  22.562234  31.585864  0.000184  -0.012117  177.723555  158.601508  87.635965  288.686631  176.0  1588.0  1574.0  159.0  1492.0  1497.0  87.0  2812.0  2796.0  286.0  2849.0  2827.0
  5458.742  5458.750  0.500  21.815463  31.598961  0.000868  -0.004472  168.911237  173.247530  103.783684  243.403519  168.0  1544.0  1537.0  174.0  1536.0  1544.0  103.0  2851.0  2834.0  241.0  2757.0  2734.0
  5458.992  5459.000  0.500  21.433001  31.590760  -0.000399  -0.006297  158.151690  161.918239  100.085796  256.929089  157.0  1559.0  1549.0  162.0  1491.0  1493.0  99.0  2797.0  2771.0  254.0  2852.0  2824.0
  5459.243  5459.250  0.500  22.536151  31.596293  0.000316  -0.008082  187.291184  182.547956  101.741485  240.478196  186.0  1678.0  1668.0  183.0  1505.0  1510.0  101.0  2791.0  2775.0  238.0  2870.0  2845.0
  5459.495  5459.500  0.500  22.432861  31.594572  -0.000459  -0.001455  184.385900  169.158944  86.986461  268.225318  183.0  1670.0  1659.0  170.0  1541.0  1550.0  86.0  2873.0  2845.0  266.0  2826.0  2807.0
  5459.744  5459.750  0.500  24.536863  31.594447  0.000697  -0.009455  181.062656  202.297747  97.430784  294.437457  180.0  1609.0  1601.0  203.0  1601.0  1608.0  97.0  2801.0  2793.0  292.0  2836.0  2817.0
  5459.996  5460.000  0.500  24.819755  31.604819  0.000428  -0.004201  210.926417  196.430345  120.786732  256.280369  209.0  1711.0  1697.0  197.0  1583.0  1589.0  120.0  2840.0  2826.0  254.0  2878.0  2857.0
  5460.247  5460.250  0.500  25.237643  31.615258  0.000638  -0.010555  227.299463  180.163519  102.881855  287.549735  226.0  1672.0  1664.0  180.0  1620.0  1620.0  102.0  2867.0  2847.0  284.0  2885.0  2854.0
  5460.497  5460.500  0.500  23.496481  31.615979  0.000107  0.001889  193.105313  183.431588  96.701186  269.626147  192.0  1669.0  1661.0  184.0  1518.0  1524.0  96.0  2816.0  2800.0  267.0  2813.0  2790.0
  5460.747  5460.750  0.500  24.774409  31.606691  0.000381  0.000991  172.407471  213.917357  111.768746  284.943521  171.0  1657.0  1645.0  214.0  1575.0  1577.0  111.0  2830.0  2815.0  281.0  2855.0  2820.0
  5460.994  5461.000  0.500  25.337458  31.630285  0.001029  -0.006375  195.500878  213.644547  114.028018  278.257584  194.0  1624.0  1613.0  214.0  1571.0  1575.0  113.0  2820.0  2799.0  276.0  2730.0  2712.0
  5461.244  5461.250  0.500  25.748333  31.628315  0.000884  -0.003031  211.375529  178.041403  120.824513  304.134950  210.0  1603.0  1594.0  178.0  1559.0  1560.0  120.0  2872.0  2857.0  301.0  2869.0  2844.0
  5461.493  5461.500  0.500  25.699501  31.639789  0.001263  -0.006699  202.185093  193.919473  119.872731  297.149484  201.0  1612.0  1604.0  194.0  1554.0  1556.0  119.0  2796.0  2780.0  295.0  2828.0  2812.0
  5461.744  5461.750  0.500  28.090145  31.648665  0.000562  -0.000861  206.713303  241.746791  135.024606  305.530883  205.0  1625.0  1613.0  242.0  1560.0  1563.0  134.0  2827.0  2810.0  302.0  2799.0  2771.0
  5461.994  5462.000  0.500  28.311999  31.649738  0.000905  0.000336  220.129953  239.028956  112.688380  324.220041  219.0  1665.0  1658.0  240.0  1610.0  1618.0  112.0  2892.0  2879.0  321.0  2881.0  2857.0
  5462.247  5462.250  0.500  30.893672  31.653666  0.000742  -0.006337  245.560491  273.416390  136.550641  322.370466  244.0  1657.0  1648.0  273.0  1612.0  1611.0  136.0  2910.0  2903.0  320.0  2989.0  2972.0
  5462.501  5462.500  0.500  30.937925  31.645795  0.000483  0.002190  234.453880  278.736799  143.974523  321.890043  233.0  1716.0  1707.0  279.0  1619.0  1622.0  143.0  2917.0  2902.0  319.0  2838.0  2817.0
  5462.749  5462.750  0.500  31.959057  31.661976  0.000127  -0.001379  250.721189  274.928286  156.847853  329.389576  248.0  1717.0  1700.0  275.0  1670.0  1672.0  156.0  2909.0  2898.0  326.0  2876.0  2851.0
  5462.997  5463.000  0.500  31.662154  31.676909  0.001323  -0.000977  266.031744  272.755320  147.907398  316.264692  264.0  1810.0  1798.0  273.0  1647.0  1650.0  147.0  2866.0  2853.0  313.0  2863.0  2838.0
  5463.245  5463.250  0.500  33.288353  31.674866  0.000125  -0.003853  277.681907  289.081088  154.376697  333.264444  275.0  1724.0  1709.0  289.0  1609.0  1610.0  153.0  2868.0  2847.0  330.0  2941.0  2917.0
  5463.496  5463.500  0.500  36.044742  31.667125  0.000144  -0.007329  289.611984  298.591724  194.424739  358.804921  288.0  1741.0  1733.0  299.0  1716.0  1720.0  193.0  3008.0  2991.0  356.0  2903.0  2885.0
  5463.744  5463.750  0.500  39.711437  31.678986  0.000230  0.000778  311.376120  380.704690  195.171799  370.765443  309.0  1812.0  1800.0  381.0  1722.0  1725.0  194.0  3004.0  2991.0  367.0  2932.0  2907.0
  5463.995  5464.000  0.500  42.006813  31.677539  0.000987  -0.001004  359.672224  353.387356  204.073986  413.538924  357.0  1880.0  1868.0  355.0  1794.0  1804.0  202.0  2929.0  2904.0  410.0  3065.0  3044.0
  5464.246  5464.250  0.500  42.643781  31.680813  0.000035  -0.007320  357.684259  356.916549  220.237559  416.151279  355.0  1854.0  1842.0  358.0  1743.0  1750.0  219.0  3075.0  3063.0  413.0  3071.0  3053.0
  5464.500  5464.500  0.500  50.767244  31.689096  0.000314  0.001830  410.555949  435.036422  276.642526  486.533151  408.0  1945.0  1935.0  436.0  1845.0  1851.0  275.0  3083.0  3070.0  481.0  3110.0  3080.0
  5464.750  5464.750  0.500  57.250415  31.689910  0.000328  -0.005163  489.512664  539.648044  290.999204  494.100566  486.0  1975.0  1963.0  541.0  1945.0  1952.0  289.0  3118.0  3102.0  490.0  3023.0  3003.0
  5465.000  5465.000  0.500  66.415118  31.694356  -0.000366  -0.005697  562.650932  587.115582  346.021136  609.196760  558.0  2116.0  2101.0  587.0  2072.0  2074.0  344.0  3211.0  3198.0  604.0  3282.0  3260.0
  5465.249  5465.250  0.500  77.278178  31.715675  0.000738  -0.012007  635.770852  750.984736  405.858849  658.315144  631.0  2237.0  2223.0  750.0  2340.0  2340.0  403.0  3249.0  3232.0  651.0  3351.0  3320.0
  5465.498  5465.500  0.500  92.940377  31.713394  0.001130  -0.008319  806.714062  839.027777  473.976557  827.736418  800.0  2441.0  2424.0  839.0  2342.0  2345.0  470.0  3381.0  3359.0  820.0  3519.0  3493.0
