#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
11093.959590531387 1517605 1468618 0.03281161177789806 1468618 734774 0.6925141325762316
11094.458137527048 1517311 1468363 0.03279151441346743 1468363 728890 0.7003806248203489
11094.960065300898 1517292 1468441 0.03272587321359173 1468441 722035 0.7098829586079679
11095.47070816777 1517247 1468403 0.03272209279188115 1468403 714729 0.7200272447922552
11095.946731102367 1517482 1468563 0.032768010611044215 1468563 706143 0.7322218840798448
11096.486143036589 1517450 1468581 0.03273466601933417 1468581 696443 0.7460659553315931
11096.932250265176 1517432 1468705 0.032638372260739054 1468705 685712 0.7616786246234544
11097.484435924642 1517506 1468767 0.03264492450376548 1468767 672758 0.7807928712671063
11097.931295700251 1516939 1468293 0.03259398705797542 1468293 657847 0.8028833990480773
11098.496261391305 1517013 1468399 0.03257057824786927 1468399 639538 0.8311819299325982
11098.949879163718 1517170 1468601 0.03253651041482379 1468601 618432 0.8648782835610396
11099.510952285144 1516806 1468275 0.032518565858420126 1468275 591445 0.9092748261746869
11099.961322253417 1516917 1468486 0.03244804754626566 1468486 560232 0.9636362334047585
11100.506488831248 1516878 1468587 0.03235356121874854 1468587 519687 1.0388292857403432
11100.964286003906 1516863 1468586 0.032344353364731 1468586 471171 1.1368342266317113
11101.487532056664 1516196 1468069 0.032256634649677124 1468069 407283 1.282194935287817
11101.968110459953 1516216 1468320 0.0320988671933546 1468320 331327 1.4887683659530555
11102.479441173638 1516220 1468475 0.03199594808768699 1468475 240440 1.809509148148473
11102.982810515381 1516301 1468629 0.03194450378669333 1468629 158725 2.224911446463568
11103.480886947502 1516238 1468842 0.0317579317361368 1468842 100876 2.6783375744286846
11103.999043805214 1516110 1468775 0.031719123912563464 1468775 73833 2.9903782128900014
11104.47651488754 1516005 1468778 0.03164782280936852 1468778 62761 3.1528521800869096
11105.001449683732 1515148 1468095 0.03154748196404694 1468095 58155 3.2286090611860625
11105.46565365191 1515051 1468001 0.03154749037006887 1468001 54488 3.2936763964341216
11105.998704329624 1515078 1468051 0.031531252051254045 1468051 52883 3.3236090235572933
11106.461661008208 1515514 1468440 0.031554042544900504 1468440 54054 3.301972344888219
11107.000158761875 1515532 1468519 0.0315121224909896 1468519 56365 3.260161290430969
11107.475900345382 1515529 1468515 0.031512866822483304 1468515 59188 3.211288146450816
11108.008488445983 1515589 1468509 0.031556541943779215 1468509 62311 3.1598649041069855
11108.484322095048 1515361 1468353 0.03151232990369525 1468353 65103 3.115926012381029
11108.999634778467 1515397 1468328 0.031553112360501984 1468328 66972 3.0876049958651812
