XDAC V1.4 Datafile V1
"Fe_trilayer.002" created on 6/27/11 at 2:22:40 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 7112.00
NUM_REGIONS= 4
SRB= -200 -20 30 60 13k
SRSS= 10 0.25 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 103.00 58.00 0.00 0.00 0.00 0.00 24.00 17.00 50.00 3391.00 10.00 10.00 8.00 19.00 89.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 9.00 1.00
Fe edge of Daniel's KCo hexacyanoferrate/KNi hexacyanochromate/KCo trilayer
N2 in I0, Vortex

--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    7100.49972     4421.0000     3718.0000      319.0000      239.0000      258.0000      185.0000     9933.0000    10317.0000    10603.0000     8294.0000    10000.0000    10364.0000    10681.0000    10230.0000    17802.0000        1.0000
    7100.75114     4419.0000     3717.0000      328.0000      225.0000      233.0000      180.0000    10008.0000    10465.0000    10575.0000     7934.0000    10055.0000    10504.0000    10630.0000    10134.0000    17789.0000        1.0000
    7100.99791     4418.0000     3717.0000      312.0000      266.0000      226.0000      205.0000    10116.0000    10514.0000    10703.0000     8249.0000    10159.0000    10556.0000    10775.0000    10228.0000    17795.0000        1.0000
    7101.24935     4421.0000     3719.0000      291.0000      219.0000      232.0000      166.0000    10042.0000    10323.0000    10680.0000     7949.0000    10096.0000    10370.0000    10746.0000    10040.0000    17808.0000        1.0000
    7101.50080     4424.0000     3721.0000      314.0000      228.0000      237.0000      188.0000     9795.0000    10285.0000    10656.0000     8126.0000     9852.0000    10328.0000    10723.0000    10216.0000    17818.0000        1.0000
    7101.75226     4423.0000     3723.0000      305.0000      252.0000      235.0000      203.0000    10051.0000    10350.0000    10480.0000     8871.0000    10111.0000    10373.0000    10536.0000    10295.0000    17821.0000        1.0000
    7101.99907     4423.0000     3721.0000      323.0000      216.0000      282.0000      200.0000    10177.0000    10340.0000    10868.0000     8730.0000    10230.0000    10365.0000    10916.0000    10188.0000    17818.0000        1.0000
    7102.25055     4421.0000     3722.0000      314.0000      234.0000      295.0000      190.0000    10081.0000    10360.0000    10609.0000     8259.0000    10132.0000    10399.0000    10675.0000    10137.0000    17819.0000        1.0000
    7102.50204     4420.0000     3721.0000      295.0000      246.0000      247.0000      192.0000     9856.0000    10386.0000    10670.0000     8219.0000     9908.0000    10432.0000    10698.0000     9976.0000    17816.0000        1.0000
    7102.74889     4422.0000     3723.0000      296.0000      223.0000      281.0000      185.0000    10202.0000    10417.0000    10725.0000     7616.0000    10254.0000    10440.0000    10796.0000    10090.0000    17817.0000        1.0000
    7103.00040     4425.0000     3724.0000      321.0000      240.0000      224.0000      186.0000     9829.0000    10466.0000    10561.0000     7912.0000     9870.0000    10499.0000    10628.0000    10130.0000    17831.0000        1.0000
    7103.25192     4423.0000     3723.0000      297.0000      214.0000      249.0000      153.0000     9924.0000    10488.0000    10623.0000     7577.0000     9989.0000    10535.0000    10685.0000     9918.0000    17825.0000        1.0000
    7103.49879     4423.0000     3725.0000      327.0000      264.0000      237.0000      183.0000    10105.0000    10381.0000    10507.0000     8720.0000    10136.0000    10401.0000    10546.0000    10020.0000    17825.0000        1.0000
    7103.75033     4424.0000     3725.0000      336.0000      230.0000      243.0000      202.0000     9852.0000    10458.0000    10652.0000     9193.0000     9902.0000    10503.0000    10678.0000    10139.0000    17836.0000        1.0000
    7104.00188     4413.0000     3716.0000      325.0000      246.0000      245.0000      197.0000    10055.0000    10548.0000    10843.0000     8197.0000    10107.0000    10572.0000    10894.0000    10171.0000    17791.0000        1.0000
    7104.24879     4424.0000     3727.0000      290.0000      254.0000      263.0000      182.0000     9965.0000    10444.0000    10711.0000     8666.0000    10001.0000    10487.0000    10764.0000    10231.0000    17832.0000        1.0000
    7104.50036     4426.0000     3728.0000      329.0000      237.0000      266.0000      183.0000    10096.0000    10441.0000    10639.0000     8911.0000    10136.0000    10473.0000    10700.0000    10182.0000    17843.0000        1.0000
    7104.75194     4428.0000     3730.0000      288.0000      241.0000      252.0000      219.0000    10073.0000    10414.0000    10801.0000     9645.0000    10131.0000    10453.0000    10855.0000    10291.0000    17858.0000        1.0000
    7104.99888     4430.0000     3731.0000      306.0000      199.0000      273.0000      170.0000     9960.0000    10410.0000    10940.0000     9223.0000    10000.0000    10447.0000    10963.0000    10032.0000    17858.0000        1.0000
    7105.25048     4427.0000     3729.0000      278.0000      227.0000      262.0000      208.0000     9966.0000    10510.0000    10627.0000     9604.0000    10017.0000    10537.0000    10668.0000    10315.0000    17852.0000        1.0000
    7105.50209     4423.0000     3728.0000      321.0000      210.0000      260.0000      207.0000     9982.0000    10319.0000    10640.0000     9562.0000    10043.0000    10352.0000    10681.0000    10280.0000    17836.0000        1.0000
    7105.74906     4429.0000     3733.0000      320.0000      231.0000      249.0000      202.0000     9954.0000    10467.0000    10585.0000     9742.0000    10008.0000    10502.0000    10626.0000    10393.0000    17865.0000        1.0000
    7106.00069     4429.0000     3732.0000      284.0000      237.0000      241.0000      195.0000     9844.0000    10692.0000    10613.0000     8611.0000     9894.0000    10720.0000    10678.0000    10175.0000    17859.0000        1.0000
    7106.24768     4429.0000     3734.0000      305.0000      220.0000      222.0000      185.0000    10123.0000    10720.0000    10559.0000     8119.0000    10162.0000    10756.0000    10620.0000    10216.0000    17865.0000        1.0000
    7106.49933     4429.0000     3734.0000      308.0000      229.0000      258.0000      219.0000     9963.0000    10441.0000    10467.0000     8152.0000    10017.0000    10482.0000    10537.0000    10248.0000    17856.0000        1.0000
    7106.75099     4431.0000     3736.0000      289.0000      242.0000      247.0000      192.0000    10007.0000    10543.0000    10686.0000     7055.0000    10057.0000    10574.0000    10763.0000    10159.0000    17867.0000        1.0000
    7106.99801     4430.0000     3736.0000      352.0000      210.0000      250.0000      193.0000    10041.0000    10449.0000    10666.0000     7785.0000    10098.0000    10492.0000    10732.0000    10206.0000    17867.0000        1.0000
    7107.24969     4430.0000     3735.0000      336.0000      266.0000      273.0000      186.0000    10088.0000    10442.0000    10556.0000     9573.0000    10138.0000    10477.0000    10611.0000    10157.0000    17862.0000        1.0000
    7107.50139     4432.0000     3737.0000      343.0000      247.0000      262.0000      211.0000    10237.0000    10346.0000    10686.0000     8482.0000    10279.0000    10390.0000    10737.0000    10281.0000    17869.0000        1.0000
    7107.74843     4433.0000     3738.0000      358.0000      249.0000      248.0000      218.0000    10060.0000    10377.0000    10597.0000     8739.0000    10107.0000    10394.0000    10641.0000    10233.0000    17872.0000        1.0000
    7108.00015     4431.0000     3736.0000      272.0000      250.0000      295.0000      216.0000     9864.0000    10388.0000    10724.0000     8727.0000     9911.0000    10412.0000    10780.0000    10309.0000    17862.0000        1.0000
    7108.25188     4432.0000     3738.0000      332.0000      219.0000      223.0000      200.0000    10023.0000    10658.0000    10763.0000     9087.0000    10074.0000    10678.0000    10811.0000    10287.0000    17864.0000        1.0000
    7108.49895     4433.0000     3741.0000      329.0000      243.0000      265.0000      207.0000    10093.0000    10644.0000    10835.0000     8656.0000    10130.0000    10698.0000    10879.0000    10146.0000    17874.0000        1.0000
